,Anio,Idestado,Nomestado,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valorproduccion,Unnamed: 18
204,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,5060000,Aguacate,21.0,13.0,0.0,49.4,3.8,6000.0,296400.0,
205,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,2177.0,1901.0,0.0,19661.62,10.34,1317.07,25895729.85,
206,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,5170000,Alfalfa verde,28329.0,28329.0,0.0,2040019.45,72.01,197.0,401883831.65,
207,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,5180000,Algarrobo,10.0,10.0,0.0,10.0,1.0,4500.0,45000.0,
208,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,5260000,Almendra,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
209,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,6020000,Chabacano,10.0,2.0,0.0,4.0,2.0,5600.0,22400.0,
210,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,6220000,Ciruela,24.0,4.0,0.0,4.0,1.0,3330.0,13320.0,
211,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,6490000,Dátil,380.0,285.0,0.0,1921.0,6.74,21710.0,41704910.0,
212,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,6530000,Durazno,35.0,0.0,0.0,0.0,0.0,0.0,0.0,
213,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,6650000,Espárrago,3254.0,3224.0,0.0,13332.99,4.14,22298.54,297306147.51,
214,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,6690000,Eucalipto,113.0,65.02,0.0,631.9,9.72,8104.04,5120943.2,
215,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,6700000,Flor cera,38.0,38.0,0.0,171.0,4.5,8300.0,1419300.0,
216,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,6750000,Flores,213.5,179.5,0.0,2068.0,11.52,20551.04,42499550.72,
217,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,6790000,Semilla de flores,5.0,5.0,0.0,1.25,0.25,117300.0,146625.0,
218,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7150000,Higo,9.0,0.0,0.0,0.0,0.0,0.0,0.0,
219,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7260000,Jojoba,13.0,0.0,0.0,0.0,0.0,0.0,0.0,
220,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7390000,Limón,280.0,250.0,0.0,3948.7,15.79,1606.51,6343617.14,
221,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7550000,Mandarina,29.0,25.0,0.0,183.22,7.33,2293.96,420300.0,
222,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7580000,Manzana,68.0,61.0,0.0,130.78,2.14,3832.35,501195.17,
223,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7690000,Membrillo,7.0,6.0,0.0,21.0,3.5,5000.0,105000.0,
224,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7850000,Naranja,570.0,428.0,0.0,7927.68,18.52,1696.11,13446252.26,
225,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7880000,Nectarina,20.0,0.0,0.0,0.0,0.0,0.0,0.0,
226,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7920000,Nopalitos,357.0,325.0,0.0,9152.36,28.16,3118.64,28542882.23,
227,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,7960000,Nuez,28.0,23.0,0.0,29.67,1.29,25403.64,753726.0,
228,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,8170000,Pastos y praderas seco,131.0,131.0,0.0,1179.0,9.0,1000.0,1179000.0,
229,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,8230000,Pera,2.0,2.0,0.0,9.0,4.5,4000.0,36000.0,
230,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,8330000,Pistache,2.0,0.0,0.0,0.0,0.0,0.0,0.0,
231,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,9000000,Toronja (pomelo),36.0,25.0,0.0,580.0,23.2,1483.77,860584.0,
232,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,9130000,Uva,4162.0,3910.0,0.0,32879.45,8.41,3911.12,128595357.6,
233,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,9250000,Semilla de pastos y praderas,3626.0,3626.0,0.0,1270.1,0.35,25000.0,31752500.0,
234,2001,2,Baja California,3,Perennes,1,Riego,200201,Tonelada,15050000,Pastos y praderas,7.0,7.0,0.0,350.0,50.0,100.0,35000.0,
235,2001,2,Baja California,3,Perennes,1,Riego,200206,Planta,8060000,Palma de ornato,24.0,22.0,0.0,9059.0,411.77,337.0,3052883.0,
236,2001,2,Baja California,3,Perennes,2,Temporal,200201,Tonelada,5000000,Aceituna,1457.0,528.0,0.0,474.0,0.9,3706.32,1756795.68,
237,2001,2,Baja California,3,Perennes,2,Temporal,200201,Tonelada,5180000,Algarrobo,60.0,60.0,0.0,30.0,0.5,4500.0,135000.0,
